nombre_paciente,correo_paciente,rut,nombre_doctor,fecha,maquina
Carlos Barnes,bpeterson@randommail.com,75.085.159-2,Dra. Ignacia,2024-07-19T09:04:54,Topografia TAC
Scott Campbell,jason34@randommail.com,69.868.929-3,Dra. Ignacia,2024-07-16T09:52:26,Ecografía
James Williams,karalee@randommail.com,69.496.300-5,Dra. Ignacia,2024-07-26T18:06:52,Rayos X
Joshua Wilson,laurie20@randommail.com,40.086.507-8,Dr. Juan,2024-07-11T16:00:00,Resonancia Magnética
Edward Blankenship,tamararussell@randommail.com,15.716.134-2,Dra. Diana,2024-07-23T11:09:01,Topografía TAC
Scott Graham,pcampbell@randommail.com,12.696.935-K,Dra. Ignacia,2024-07-13T11:01:44,Topografía TAC
Robert Caldwell,heatherparks@randommail.com,60.242.611-4,Dr. Pedro,2024-07-28T13:50:28,Rayos X
Kevin Stephenson,chadsmall@randommail.com,81.293.845-2,Dr. Juan,2024-07-25T10:55:53,Topografía TAC
James Carlson,kathleen17@randommail.com,95.007.621-6,Dra. Diana,2024-07-09T15:30:09,Resonancia Magnética
George Khan,tiffanyhutchinson@randommail.com,15.955.911-4,Dr. Pedro,2024-07-22T10:44:23,Resonancia Magnética
Michelle Smith,churley@randommail.com,12.126.509-5,Dra. Ignacia,2024-07-07T15:12:50,Topografía TAC
Kimberly Jenkins,bmelendez@randommail.com,01.721.044-0,Dr. Pedro,2024-07-07T16:19:58,Rayos X
Lauren Bird,pmay@randommail.com,24.265.367-K,Dra. Ignacia,2024-07-12T12:21:06,Rayos X
Michael Cabrera,amccarthy@randommail.com,91.050.435-5,Dra. Ignacia,2024-07-08T09:47:53,Ecografía
Lisa Miller,stevenscody@randommail.com,84.365.466-5,Dra. Diana,2024-07-02T17:25:07,Rayos X
Juan Kim,bryanjillian@randommail.com,86.418.250-K,Dr. Juan,2024-07-25T18:11:00,Rayos X
Thomas Contreras,tanner88@randommail.com,26.177.787-8,Dr. Juan,2024-07-13T13:34:38,Rayos X
Jonathan Mercado,elizabeth78@randommail.com,64.140.399-7,Dra. Ignacia,2024-07-01T14:27:45,Ecografía
Jacqueline Fox,joneskristen@randommail.com,51.033.546-5,Dra. Diana,2024-07-17T09:34:00,Topografía TAC
Erica Campbell,turnermark@randommail.com,23.599.390-2,Dra. Ignacia,2024-07-18T12:18:51,Rayos X
Mary Montgomery,rachael47@randommail.com,49.348.104-5,Dra. Diana,2024-06-28T14:57:38,Topografía TAC
Michael James,melissafrazier@randommail.com,31.062.746-1,Dr. Pedro,2024-07-09T17:24:11,Rayos X
Diane Nielsen,ronniebender@randommail.com,13.753.362-6,Dra. Ignacia,2024-07-15T17:45:04,Resonancia Magnética
Stephen Ortiz,angelaglenn@randommail.com,44.173.171-K,Dra. Ignacia,2024-07-07T12:13:44,Topografía TAC
Garrett Berger,pughjacob@randommail.com,17.489.647-K,Dr. Juan,2024-07-26T12:12:08,Ecografía
Cynthia Wyatt,kylelee@randommail.com,76.187.977-4,Dr. Juan,2024-07-20T18:54:31,Ecografía
Catherine Robbins,terryjackie@randommail.com,73.127.624-2,Dr. Juan,2024-07-11T10:37:41,Resonancia Magnética
Jill Lloyd,fterry@randommail.com,15.028.417-1,Dra. Ignacia,2024-07-09T12:04:42,Rayos X
Martha Ortiz,bradfordjulie@randommail.com,96.810.691-0,Dr. Juan,2024-07-06T11:16:50,Topografía TAC
Karen Morris,dunneric@randommail.com,15.703.141-4,Dra. Ignacia,2024-07-07T08:49:38,Rayos X
Janet Flores,eschroeder@randommail.com,93.391.213-2,Dr. Pedro,2024-07-16T10:53:47,Rayos X
Justin Young,william74@randommail.com,25.727.482-9,Dra. Diana,2024-07-21T10:57:07,Resonancia Magnética
Danielle Woods,robertperez@randommail.com,22.911.371-2,Dr. Pedro,2024-07-13T17:45:53,Rayos X
John Gray,fcrawford@randommail.com,35.261.004-6,Dr. Juan,2024-07-24T12:56:31,Topografía TAC
William Roberts,fjimenez@randommail.com,34.164.515-8,Dra. Diana,2024-07-23T18:33:22,Resonancia Magnética
Donna Daniels,sonia72@randommail.com,20.361.057-2,Dr. Pedro,2024-07-01T12:32:48,Ecografía
Erika Briggs,brandonshaw@randommail.com,50.867.773-1,Dr. Pedro,2024-07-24T12:44:43,Topografía TAC
John Rodriguez,paynejohn@randommail.com,99.772.256-6,Dra. Ignacia,2024-07-08T08:41:23,Topografía TAC
Kimberly King,rhayes@randommail.com,15.430.462-2,Dra. Ignacia,2024-06-29T15:31:13,Ecografía
Tracy Lopez,harrismarcus@randommail.com,43.863.866-0,Dra. Diana,2024-07-16T12:44:45,Topografía TAC
Susan Peterson,buckleydeanna@randommail.com,45.698.237-9,Dra. Ignacia,2024-07-09T08:35:50,Ecografía
Chase Weber,longcynthia@randommail.com,14.291.104-3,Dra. Diana,2024-07-27T17:08:43,Rayos X
Victoria Cohen,nixonwilliam@randommail.com,33.737.061-6,Dr. Juan,2024-07-13T14:28:46,Resonancia Magnética
Gregory Griffith,lisajohnson@randommail.com,65.846.956-8,Dra. Diana,2024-06-30T12:43:58,Rayos X
Darren Johnson,lindseyricky@randommail.com,25.630.422-8,Dr. Juan,2024-07-02T16:30:45,Rayos X
Gerald Bell,rebeccageorge@randommail.com,68.306.327-4,Dr. Juan,2024-07-14T16:53:46,Ecografía
Laura Lowery,landrytyler@randommail.com,99.594.197-K,Dra. Ignacia,2024-07-08T10:32:03,Rayos X
Jessica Peters,brett74@randommail.com,96.185.125-4,Dr. Juan,2024-07-12T10:13:17,Resonancia Magnética
Rachel Wallace,jennifer83@randommail.com,47.373.148-7,Dr. Juan,2024-07-05T17:58:20,Topografía TAC
Erika Brewer,penny39@randommail.com,95.693.174-6,Dra. Ignacia,2024-07-15T15:38:40,Ecografía
Karen Black,brenda53@randommail.com,90.369.023-2,Dr. Pedro,2024-07-08T12:45:14,Rayos X
Daniel Chaney,uryan@randommail.com,37.968.126-3,Dr. Pedro,2024-07-20T09:41:57,Topografía TAC
Heather Evans,katherine83@randommail.com,29.432.412-7,Dra. Diana,2024-07-24T14:00:52,Ecografía
David Mccall,johnjordan@randommail.com,13.785.137-7,Dr. Pedro,2024-07-18T08:53:08,Resonancia Magnética
Cheryl Ward,rfuller@randommail.com,02.299.914-1,Dra. Ignacia,2024-07-06T17:41:46,Ecografía
Thomas Vazquez,ryanedwards@randommail.com,16.739.469-8,Dra. Ignacia,2024-07-27T16:45:16,Ecografía
Joshua Perkins,james44@randommail.com,55.933.684-K,Dr. Pedro,2024-07-27T12:35:30,Rayos X
Mike Logan,lmills@randommail.com,83.068.439-5,Dr. Pedro,2024-07-02T18:42:49,Ecografía
Carrie Harrington,gonzalezchristopher@randommail.com,60.433.705-4,Dra. Diana,2024-07-16T14:06:27,Rayos X
Jeffrey Cline,kimberly75@randommail.com,06.487.760-7,Dra. Diana,2024-07-16T17:57:12,Rayos X
Ryan Flores,stephaniespence@randommail.com,43.056.097-2,Dr. Juan,2024-07-02T13:23:06,Topografía TAC
